"X","Project.ID","Deployment.Location.ID","Latitude","Longitude","Camera.Deployment.Begin.Date","Camera.Deployment.End.Date","Time.Zone","Bait.Type","Feature.Type","Quiet.Period.Setting","Camera.Failure.Details","Camera.Make","Height","Angle"
1,"Bighorn","BH01",52.48975962,-116.5950732,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
2,"Bighorn","BH02",52.4814129,-116.485374,"Oct-05-2019","4-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
3,"Bighorn","BH03",52.52362869,-116.3746898,"Oct-02-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
4,"Bighorn","BH04",52.53548266,-116.329569,"Oct-02-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
5,"Bighorn","BH05",52.52116746,-116.1989818,"Oct-02-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
6,"Bighorn","BH06",52.50139329,-116.1494142,"Oct-02-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
7,"Bighorn","BH07",52.49444885,-116.0166703,"Oct-01-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
8,"Bighorn","BH08",52.51317712,-115.942748,"Oct-01-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
9,"Bighorn","BH09",52.49072065,-115.8357073,"Oct-01-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
10,"Bighorn","BH104",52.57043162,-116.2901122,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
11,"Bighorn","BH105",52.55793592,-116.2229464,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
12,"Bighorn","BH12",52.51022564,-115.5770388,"Oct-01-2019","9-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
13,"Bighorn","BH13",52.44249741,-116.5317001,"Oct-05-2019","5-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
14,"Bighorn","BH14",52.44850547,-116.4930559,"Oct-05-2019","4-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
15,"Bighorn","BH15",52.47098113,-116.4187328,"Oct-05-2019","4-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
16,"Bighorn","BH16",52.42909877,-116.2500999,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
17,"Bighorn","BH17",52.4484863,-116.1815548,"Oct-01-2019","9-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
18,"Bighorn","BH18",52.43879925,-116.1052507,"Oct-02-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
19,"Bighorn","BH186",52.07617227,-116.4237724,"Oct-03-2019","10-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
20,"Bighorn","BH19",52.44200976,-116.0300938,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
21,"Bighorn","BH191",52.08033215,-115.997676,"Oct-04-2019","13-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
22,"Bighorn","BH192",52.07837422,-115.9343733,"Oct-04-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
23,"Bighorn","BH193",52.07755576,-115.8300569,"Oct-04-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
24,"Bighorn","BH194",52.06859427,-115.74554,"Oct-04-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
25,"Bighorn","BH195",52.07729656,-115.6868091,"Oct-04-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
26,"Bighorn","BH20",52.4739269,-115.9152438,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
27,"Bighorn","BH21",52.48235512,-115.806417,"Oct-08-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
28,"Bighorn","BH22",52.47521027,-115.7750279,"Oct-08-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
29,"Bighorn","BH23",52.46700044,-115.6764329,"Oct-08-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
30,"Bighorn","BH24",52.48026592,-115.63174,"Oct-08-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
31,"Bighorn","BH25",52.38043387,-116.5687773,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
32,"Bighorn","BH26",52.38537487,-116.4280567,"Oct-05-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
33,"Bighorn","BH27",52.39097774,-116.3387702,"Oct-03-2019","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
34,"Bighorn","BH28",52.38310073,-116.30104,"Oct-02-2019","11-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
35,"Bighorn","BH29",52.39301687,-116.2069472,"Oct-01-2019","13-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
36,"Bighorn","BH30",52.38066094,-116.0869596,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
37,"Bighorn","BH31",52.39228538,-116.0673213,"Oct-03-2019","9-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
38,"Bighorn","BH32",52.39658469,-115.9506369,"Feb-24-2020","10-Sep-20","GMT-6","Scent","Game trail",0,"Camera Hardware Failure","Reconyx PC900","Varied","Pointed down"
39,"Bighorn","BH33",52.39688668,-115.8863574,"Feb-24-2020","10-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
40,"Bighorn","BH34",52.39442669,-115.7466231,"Feb-24-2020","12-Sep-20","GMT-6","Scent","Game trail",0,NA,"Reconyx PC900","Varied","Pointed down"
